Year, Month, day, hour, solar
2014,1,4,23,100.0
2014,1,5,0,100.0
2014,1,5,1,100.0
2014,1,5,2,100.0
2014,1,5,3,100.0
2014,1,5,4,1100.0
2014,1,5,5,2100.0
2014,1,5,6,3100.0
2014,1,5,7,6100.0
2014,1,5,8,10100.0
2014,1,5,9,13100.0
2014,1,5,10,15100.0
2014,1,5,11,20100.0
2014,1,5,12,18100.0
2014,1,5,13,15100.0
2014,1,5,14,12100.0
2014,1,5,15,10100.0
2014,1,5,16,8100.0
2014,1,5,17,6100.0
2014,1,5,18,4100.0
2014,1,5,19,2100.0
2014,1,5,20,100.0
2014,1,5,21,100.0
2014,1,5,22,100.0
2014,1,5,23,100.0
2014,1,6,0,100.0
2014,1,6,1,100.0
2014,1,6,2,100.0
2014,1,6,3,100.0
2014,1,6,4,1100.0
2014,1,6,5,2100.0
2014,1,6,6,3100.0
2014,1,6,7,6100.0
2014,1,6,8,10100.0
2014,1,6,9,13100.0
2014,1,6,10,15100.0
2014,1,6,11,20100.0
2014,1,6,12,18100.0
2014,1,6,13,15100.0
2014,1,6,14,12100.0
2014,1,6,15,10100.0
2014,1,6,16,8100.0
2014,1,6,17,6100.0
2014,1,6,18,4100.0
2014,1,6,19,2100.0
2014,1,6,20,100.0
2014,1,6,21,100.0
2014,1,6,22,100.0
2014,1,6,23,100.0
2014,1,7,0,100.0
2014,1,7,1,100.0
2014,1,7,2,100.0
2014,1,7,3,100.0
2014,1,7,4,1100.0
2014,1,7,5,2100.0
2014,1,7,6,3100.0
2014,1,7,7,6100.0
2014,1,7,8,10100.0
2014,1,7,9,13100.0
2014,1,7,10,15100.0
2014,1,7,11,20100.0
2014,1,7,12,18100.0
2014,1,7,13,15100.0
2014,1,7,14,12100.0
2014,1,7,15,10100.0
2014,1,7,16,8100.0
2014,1,7,17,6100.0
2014,1,7,18,4100.0
2014,1,7,19,2100.0
2014,1,7,20,100.0
2014,1,7,21,100.0
2014,1,7,22,100.0
2014,1,7,23,100.0
2014,1,8,0,100.0
2014,1,8,1,100.0
2014,1,8,2,100.0
2014,1,8,3,100.0
2014,1,8,4,1100.0
2014,1,8,5,2100.0
2014,1,8,6,3100.0
2014,1,8,7,6100.0
2014,1,8,8,10100.0
2014,1,8,9,13100.0
2014,1,8,10,15100.0
2014,1,8,11,20100.0
2014,1,8,12,18100.0
2014,1,8,13,15100.0
2014,1,8,14,12100.0
2014,1,8,15,10100.0
2014,1,8,16,8100.0
2014,1,8,17,6100.0
2014,1,8,18,4100.0
2014,1,8,19,2100.0
2014,1,8,20,100.0
2014,1,8,21,100.0
2014,1,8,22,100.0
2014,1,8,23,100.0
2014,1,9,0,100.0
2014,1,9,1,100.0
2014,1,9,2,100.0
2014,1,9,3,100.0
2014,1,9,4,1100.0
2014,1,9,5,2100.0
2014,1,9,6,3100.0
2014,1,9,7,6100.0
2014,1,9,8,10100.0
2014,1,9,9,13100.0
2014,1,9,10,15100.0
2014,1,9,11,20100.0
2014,1,9,12,18100.0
2014,1,9,13,15100.0
2014,1,9,14,12100.0
2014,1,9,15,10100.0
2014,1,9,16,8100.0
2014,1,9,17,6100.0
2014,1,9,18,4100.0
2014,1,9,19,2100.0
2014,1,9,20,100.0
2014,1,9,21,100.0
2014,1,9,22,100.0
2014,1,9,23,100.0
2014,1,10,0,100.0
2014,1,10,1,100.0
2014,1,10,2,100.0
2014,1,10,3,100.0
2014,1,10,4,1100.0
2014,1,10,5,2100.0
2014,1,10,6,3100.0
2014,1,10,7,6100.0
2014,1,10,8,10100.0
2014,1,10,9,13100.0
2014,1,10,10,15100.0
2014,1,10,11,20100.0
2014,1,10,12,18100.0
2014,1,10,13,15100.0
2014,1,10,14,12100.0
2014,1,10,15,10100.0
2014,1,10,16,8100.0
2014,1,10,17,6100.0
2014,1,10,18,4100.0
2014,1,10,19,2100.0
2014,1,10,20,100.0
2014,1,10,21,100.0
2014,1,10,22,100.0
2014,1,10,23,100.0
2014,1,11,0,100.0
2014,1,11,1,100.0
2014,1,11,2,100.0
2014,1,11,3,100.0
2014,1,11,4,1100.0
2014,1,11,5,2100.0
2014,1,11,6,3100.0
2014,1,11,7,6100.0
2014,1,11,8,10100.0
2014,1,11,9,13100.0
2014,1,11,10,15100.0
2014,1,11,11,20100.0
2014,1,11,12,18100.0
2014,1,11,13,15100.0
2014,1,11,14,12100.0
2014,1,11,15,10100.0
2014,1,11,16,8100.0
2014,1,11,17,6100.0
2014,1,11,18,4100.0
2014,1,11,19,2100.0
2014,1,11,20,100.0
2014,1,11,21,100.0
2014,1,11,22,100.0
2014,1,11,23,100.0
2014,1,12,0,100.0
2014,1,12,1,100.0
2014,1,12,2,100.0
2014,1,12,3,100.0
2014,1,12,4,1100.0
2014,1,12,5,2100.0
2014,1,12,6,3100.0
2014,1,12,7,6100.0
2014,1,12,8,10100.0
2014,1,12,9,13100.0
2014,1,12,10,15100.0
2014,1,12,11,20100.0
2014,1,12,12,18100.0
2014,1,12,13,15100.0
2014,1,12,14,12100.0
2014,1,12,15,10100.0
2014,1,12,16,8100.0
2014,1,12,17,6100.0
2014,1,12,18,4100.0
2014,1,12,19,2100.0
2014,1,12,20,100.0
2014,1,12,21,100.0
2014,1,12,22,100.0
2014,1,12,23,100.0
2014,1,13,0,100.0
2014,1,13,1,100.0
2014,1,13,2,100.0
2014,1,13,3,100.0
2014,1,13,4,1100.0
2014,1,13,5,2100.0
2014,1,13,6,3100.0
2014,1,13,7,6100.0
2014,1,13,8,10100.0
2014,1,13,9,13100.0
2014,1,13,10,15100.0
2014,1,13,11,20100.0
2014,1,13,12,18100.0
2014,1,13,13,15100.0
2014,1,13,14,12100.0
2014,1,13,15,10100.0
2014,1,13,16,8100.0
2014,1,13,17,6100.0
2014,1,13,18,4100.0
2014,1,13,19,2100.0
2014,1,13,20,100.0
2014,1,13,21,100.0
2014,1,13,22,100.0
2014,1,13,23,100.0
2014,1,14,0,100.0
2014,1,14,1,100.0
2014,1,14,2,100.0
2014,1,14,3,100.0
2014,1,14,4,1100.0
2014,1,14,5,2100.0
2014,1,14,6,3100.0
2014,1,14,7,6100.0
2014,1,14,8,10100.0
2014,1,14,9,13100.0
2014,1,14,10,15100.0
2014,1,14,11,20100.0
2014,1,14,12,18100.0
2014,1,14,13,15100.0
2014,1,14,14,12100.0
2014,1,14,15,10100.0
2014,1,14,16,8100.0
2014,1,14,17,6100.0
2014,1,14,18,4100.0
2014,1,14,19,2100.0
2014,1,14,20,100.0
2014,1,14,21,100.0
2014,1,14,22,100.0
2014,1,14,23,100.0
2014,1,15,0,100.0
2014,1,15,1,100.0
2014,1,15,2,100.0
2014,1,15,3,100.0
2014,1,15,4,1100.0
2014,1,15,5,2100.0
2014,1,15,6,3100.0
2014,1,15,7,6100.0
2014,1,15,8,10100.0
2014,1,15,9,13100.0
2014,1,15,10,15100.0
2014,1,15,11,20100.0
2014,1,15,12,18100.0
2014,1,15,13,15100.0
2014,1,15,14,12100.0
2014,1,15,15,10100.0
2014,1,15,16,8100.0
2014,1,15,17,6100.0
2014,1,15,18,4100.0
2014,1,15,19,2100.0
2014,1,15,20,100.0
2014,1,15,21,100.0
2014,1,15,22,100.0
2014,1,15,23,100.0
2014,1,16,0,100.0
2014,1,16,1,100.0
2014,1,16,2,100.0
2014,1,16,3,100.0
2014,1,16,4,1100.0
2014,1,16,5,2100.0
2014,1,16,6,3100.0
2014,1,16,7,6100.0
2014,1,16,8,10100.0
2014,1,16,9,13100.0
2014,1,16,10,15100.0
2014,1,16,11,20100.0
2014,1,16,12,18100.0
2014,1,16,13,15100.0
2014,1,16,14,12100.0
2014,1,16,15,10100.0
2014,1,16,16,8100.0
2014,1,16,17,6100.0
2014,1,16,18,4100.0
2014,1,16,19,2100.0
2014,1,16,20,100.0
2014,1,16,21,100.0
2014,1,16,22,100.0
2014,1,16,23,100.0
2014,1,17,0,100.0
2014,1,17,1,100.0
2014,1,17,2,100.0
2014,1,17,3,100.0
2014,1,17,4,1100.0
2014,1,17,5,2100.0
2014,1,17,6,3100.0
2014,1,17,7,6100.0
2014,1,17,8,10100.0
2014,1,17,9,13100.0
2014,1,17,10,15100.0
2014,1,17,11,20100.0
2014,1,17,12,18100.0
2014,1,17,13,15100.0
2014,1,17,14,12100.0
2014,1,17,15,10100.0
2014,1,17,16,8100.0
2014,1,17,17,6100.0
2014,1,17,18,4100.0
2014,1,17,19,2100.0
2014,1,17,20,100.0
2014,1,17,21,100.0
2014,1,17,22,100.0
2014,1,17,23,100.0
2014,1,18,0,100.0
2014,1,18,1,100.0
2014,1,18,2,100.0
2014,1,18,3,100.0
2014,1,18,4,1100.0
2014,1,18,5,2100.0
2014,1,18,6,3100.0
2014,1,18,7,6100.0
2014,1,18,8,10100.0
2014,1,18,9,13100.0
2014,1,18,10,15100.0
2014,1,18,11,20100.0
2014,1,18,12,18100.0
2014,1,18,13,15100.0
2014,1,18,14,12100.0
2014,1,18,15,10100.0
2014,1,18,16,8100.0
2014,1,18,17,6100.0
2014,1,18,18,4100.0
2014,1,18,19,2100.0
2014,1,18,20,100.0
2014,1,18,21,100.0
2014,1,18,22,100.0
2014,1,18,23,100.0
2014,1,19,0,100.0
2014,1,19,1,100.0
2014,1,19,2,100.0
2014,1,19,3,100.0
2014,1,19,4,1100.0
2014,1,19,5,2100.0
2014,1,19,6,3100.0
2014,1,19,7,6100.0
2014,1,19,8,10100.0
2014,1,19,9,13100.0
2014,1,19,10,15100.0
2014,1,19,11,20100.0
2014,1,19,12,18100.0
2014,1,19,13,15100.0
2014,1,19,14,12100.0
2014,1,19,15,10100.0
2014,1,19,16,8100.0
2014,1,19,17,6100.0
2014,1,19,18,4100.0
2014,1,19,19,2100.0
2014,1,19,20,100.0
2014,1,19,21,100.0
2014,1,19,22,100.0
2014,1,19,23,100.0
2014,1,20,0,100.0
2014,1,20,1,100.0
2014,1,20,2,100.0
2014,1,20,3,100.0
2014,1,20,4,1100.0
2014,1,20,5,2100.0
2014,1,20,6,3100.0
2014,1,20,7,6100.0
2014,1,20,8,10100.0
2014,1,20,9,13100.0
2014,1,20,10,15100.0
2014,1,20,11,20100.0
2014,1,20,12,18100.0
2014,1,20,13,15100.0
2014,1,20,14,12100.0
2014,1,20,15,10100.0
2014,1,20,16,8100.0
2014,1,20,17,6100.0
2014,1,20,18,4100.0
2014,1,20,19,2100.0
2014,1,20,20,100.0
2014,1,20,21,100.0
2014,1,20,22,100.0
2014,1,20,23,100.0
2014,1,21,0,100.0
2014,1,21,1,100.0
2014,1,21,2,100.0
2014,1,21,3,100.0
2014,1,21,4,1100.0
2014,1,21,5,2100.0
2014,1,21,6,3100.0
2014,1,21,7,6100.0
2014,1,21,8,10100.0
2014,1,21,9,13100.0
2014,1,21,10,15100.0
2014,1,21,11,20100.0
2014,1,21,12,18100.0
2014,1,21,13,15100.0
2014,1,21,14,12100.0
2014,1,21,15,10100.0
2014,1,21,16,8100.0
2014,1,21,17,6100.0
2014,1,21,18,4100.0
2014,1,21,19,2100.0
2014,1,21,20,100.0
2014,1,21,21,100.0
2014,1,21,22,100.0
2014,1,21,23,100.0
2014,1,22,0,100.0
2014,1,22,1,100.0
2014,1,22,2,100.0
2014,1,22,3,100.0
2014,1,22,4,1100.0
2014,1,22,5,2100.0
2014,1,22,6,3100.0
2014,1,22,7,6100.0
2014,1,22,8,10100.0
2014,1,22,9,13100.0
2014,1,22,10,15100.0
2014,1,22,11,20100.0
2014,1,22,12,18100.0
2014,1,22,13,15100.0
2014,1,22,14,12100.0
2014,1,22,15,10100.0
2014,1,22,16,8100.0
2014,1,22,17,6100.0
2014,1,22,18,4100.0
2014,1,22,19,2100.0
2014,1,22,20,100.0
2014,1,22,21,100.0
2014,1,22,22,100.0
2014,1,22,23,100.0
2014,1,23,0,100.0
2014,1,23,1,100.0
2014,1,23,2,100.0
2014,1,23,3,100.0
2014,1,23,4,1100.0
2014,1,23,5,2100.0
2014,1,23,6,3100.0
2014,1,23,7,6100.0
2014,1,23,8,10100.0
2014,1,23,9,13100.0
2014,1,23,10,15100.0
2014,1,23,11,20100.0
2014,1,23,12,18100.0
2014,1,23,13,15100.0
2014,1,23,14,12100.0
2014,1,23,15,10100.0
2014,1,23,16,8100.0
2014,1,23,17,6100.0
2014,1,23,18,4100.0
2014,1,23,19,2100.0
2014,1,23,20,100.0
2014,1,23,21,100.0
2014,1,23,22,100.0
2014,1,23,23,100.0
2014,1,24,0,100.0
2014,1,24,1,100.0
2014,1,24,2,100.0
2014,1,24,3,100.0
2014,1,24,4,1100.0
2014,1,24,5,2100.0
2014,1,24,6,3100.0
2014,1,24,7,6100.0
2014,1,24,8,10100.0
2014,1,24,9,13100.0
2014,1,24,10,15100.0
2014,1,24,11,20100.0
2014,1,24,12,18100.0
2014,1,24,13,15100.0
2014,1,24,14,12100.0
2014,1,24,15,10100.0
2014,1,24,16,8100.0
2014,1,24,17,6100.0
2014,1,24,18,4100.0
2014,1,24,19,2100.0
2014,1,24,20,100.0
2014,1,24,21,100.0
2014,1,24,22,100.0
2014,1,24,23,100.0
2014,1,25,0,100.0
2014,1,25,1,100.0
2014,1,25,2,100.0
2014,1,25,3,100.0
2014,1,25,4,1100.0
2014,1,25,5,2100.0
2014,1,25,6,3100.0
2014,1,25,7,6100.0
2014,1,25,8,10100.0
2014,1,25,9,13100.0
2014,1,25,10,15100.0
2014,1,25,11,20100.0
2014,1,25,12,18100.0
2014,1,25,13,15100.0
2014,1,25,14,12100.0
2014,1,25,15,10100.0
2014,1,25,16,8100.0
2014,1,25,17,6100.0
2014,1,25,18,4100.0
2014,1,25,19,2100.0
2014,1,25,20,100.0
2014,1,25,21,100.0
2014,1,25,22,100.0
2014,1,25,23,100.0
2014,1,26,0,100.0
2014,1,26,1,100.0
2014,1,26,2,100.0
2014,1,26,3,100.0
2014,1,26,4,1100.0
2014,1,26,5,2100.0
2014,1,26,6,3100.0
2014,1,26,7,6100.0
2014,1,26,8,10100.0
2014,1,26,9,13100.0
2014,1,26,10,15100.0
2014,1,26,11,20100.0
2014,1,26,12,18100.0
2014,1,26,13,15100.0
2014,1,26,14,12100.0
2014,1,26,15,10100.0
2014,1,26,16,8100.0
2014,1,26,17,6100.0
2014,1,26,18,4100.0
2014,1,26,19,2100.0
2014,1,26,20,100.0
2014,1,26,21,100.0
2014,1,26,22,100.0
2014,1,26,23,100.0
2014,1,27,0,100.0
2014,1,27,1,100.0
2014,1,27,2,100.0
2014,1,27,3,100.0
2014,1,27,4,1100.0
2014,1,27,5,2100.0
2014,1,27,6,3100.0
2014,1,27,7,6100.0
2014,1,27,8,10100.0
2014,1,27,9,13100.0
2014,1,27,10,15100.0
2014,1,27,11,20100.0
2014,1,27,12,18100.0
2014,1,27,13,15100.0
2014,1,27,14,12100.0
2014,1,27,15,10100.0
2014,1,27,16,8100.0
2014,1,27,17,6100.0
2014,1,27,18,4100.0
2014,1,27,19,2100.0
2014,1,27,20,100.0
2014,1,27,21,100.0
2014,1,27,22,100.0
2014,1,27,23,100.0
2014,1,28,0,100.0
2014,1,28,1,100.0
2014,1,28,2,100.0
2014,1,28,3,100.0
2014,1,28,4,1100.0
2014,1,28,5,2100.0
2014,1,28,6,3100.0
2014,1,28,7,6100.0
2014,1,28,8,10100.0
2014,1,28,9,13100.0
2014,1,28,10,15100.0
2014,1,28,11,20100.0
2014,1,28,12,18100.0
2014,1,28,13,15100.0
2014,1,28,14,12100.0
2014,1,28,15,10100.0
2014,1,28,16,8100.0
2014,1,28,17,6100.0
2014,1,28,18,4100.0
2014,1,28,19,2100.0
2014,1,28,20,100.0
2014,1,28,21,100.0
2014,1,28,22,100.0
2014,1,28,23,100.0
2014,2,1,0,100.0
2014,2,1,1,100.0
2014,2,1,2,100.0
2014,2,1,3,100.0
2014,2,1,4,1100.0
2014,2,1,5,2100.0
2014,2,1,6,3100.0
2014,2,1,7,6100.0
2014,2,1,8,10100.0
2014,2,1,9,13100.0
2014,2,1,10,15100.0
2014,2,1,11,20100.0
2014,2,1,12,18100.0
2014,2,1,13,15100.0
2014,2,1,14,12100.0
2014,2,1,15,10100.0
2014,2,1,16,8100.0
2014,2,1,17,6100.0
2014,2,1,18,4100.0
2014,2,1,19,2100.0
2014,2,1,20,100.0
2014,2,1,21,100.0
2014,2,1,22,100.0
2014,2,1,23,100.0
2014,2,2,0,100.0
2014,2,2,1,100.0
2014,2,2,2,100.0
2014,2,2,3,100.0
2014,2,2,4,1100.0
2014,2,2,5,2100.0
2014,2,2,6,3100.0
2014,2,2,7,6100.0
2014,2,2,8,10100.0
2014,2,2,9,13100.0
2014,2,2,10,15100.0
2014,2,2,11,20100.0
2014,2,2,12,18100.0
2014,2,2,13,15100.0
2014,2,2,14,12100.0
2014,2,2,15,10100.0
2014,2,2,16,8100.0
2014,2,2,17,6100.0
2014,2,2,18,4100.0
2014,2,2,19,2100.0
2014,2,2,20,100.0
2014,2,2,21,100.0
2014,2,2,22,100.0
2014,2,2,23,100.0
2014,2,3,0,100.0
2014,2,3,1,100.0
2014,2,3,2,100.0
2014,2,3,3,100.0
2014,2,3,4,1100.0
2014,2,3,5,2100.0
2014,2,3,6,3100.0
2014,2,3,7,6100.0
2014,2,3,8,10100.0
2014,2,3,9,13100.0
2014,2,3,10,15100.0
2014,2,3,11,20100.0
2014,2,3,12,18100.0
2014,2,3,13,15100.0
2014,2,3,14,12100.0
2014,2,3,15,10100.0
2014,2,3,16,8100.0
2014,2,3,17,6100.0
2014,2,3,18,4100.0
2014,2,3,19,2100.0
2014,2,3,20,100.0
2014,2,3,21,100.0
2014,2,3,22,100.0
2014,2,3,23,100.0
2014,2,4,0,100.0
2014,2,4,1,100.0
2014,2,4,2,100.0
2014,2,4,3,100.0
2014,2,4,4,1100.0
2014,2,4,5,2100.0
2014,2,4,6,3100.0
2014,2,4,7,6100.0
2014,2,4,8,10100.0
2014,2,4,9,13100.0
2014,2,4,10,15100.0
2014,2,4,11,20100.0
2014,2,4,12,18100.0
2014,2,4,13,15100.0
2014,2,4,14,12100.0
2014,2,4,15,10100.0
2014,2,4,16,8100.0
2014,2,4,17,6100.0
2014,2,4,18,4100.0
2014,2,4,19,2100.0
2014,2,4,20,100.0
2014,2,4,21,100.0
2014,2,4,22,100.0
2014,2,4,23,100.0
2014,2,5,0,100.0
2014,2,5,1,100.0
2014,2,5,2,100.0
2014,2,5,3,100.0
2014,2,5,4,1100.0
2014,2,5,5,2100.0
2014,2,5,6,3100.0
2014,2,5,7,6100.0
2014,2,5,8,10100.0
2014,2,5,9,13100.0
2014,2,5,10,15100.0
2014,2,5,11,20100.0
2014,2,5,12,18100.0
2014,2,5,13,15100.0
2014,2,5,14,12100.0
2014,2,5,15,10100.0
2014,2,5,16,8100.0
2014,2,5,17,6100.0
2014,2,5,18,4100.0
2014,2,5,19,2100.0
2014,2,5,20,100.0
2014,2,5,21,100.0
2014,2,5,22,100.0
2014,2,5,23,100.0
2014,2,6,0,100.0
2014,2,6,1,100.0
2014,2,6,2,100.0
2014,2,6,3,100.0
2014,2,6,4,1100.0
2014,2,6,5,2100.0
2014,2,6,6,3100.0
2014,2,6,7,6100.0
2014,2,6,8,10100.0
2014,2,6,9,13100.0
2014,2,6,10,15100.0
2014,2,6,11,20100.0
2014,2,6,12,18100.0
2014,2,6,13,15100.0
2014,2,6,14,12100.0
2014,2,6,15,10100.0
2014,2,6,16,8100.0
2014,2,6,17,6100.0
2014,2,6,18,4100.0
2014,2,6,19,2100.0
2014,2,6,20,100.0
2014,2,6,21,100.0
2014,2,6,22,100.0
2014,2,6,23,100.0
2014,2,7,0,100.0
2014,2,7,1,100.0
2014,2,7,2,100.0
2014,2,7,3,100.0
2014,2,7,4,1100.0
2014,2,7,5,2100.0
2014,2,7,6,3100.0
2014,2,7,7,6100.0
2014,2,7,8,10100.0
2014,2,7,9,13100.0
2014,2,7,10,15100.0
2014,2,7,11,20100.0
2014,2,7,12,18100.0
2014,2,7,13,15100.0
2014,2,7,14,12100.0
2014,2,7,15,10100.0
2014,2,7,16,8100.0
2014,2,7,17,6100.0
2014,2,7,18,4100.0
2014,2,7,19,2100.0
2014,2,7,20,100.0
2014,2,7,21,100.0
2014,2,7,22,100.0
2014,2,7,23,100.0
2014,2,8,0,100.0
2014,2,8,1,100.0
2014,2,8,2,100.0
2014,2,8,3,100.0
2014,2,8,4,1100.0
2014,2,8,5,2100.0
2014,2,8,6,3100.0
2014,2,8,7,6100.0
2014,2,8,8,10100.0
2014,2,8,9,13100.0
2014,2,8,10,15100.0
2014,2,8,11,20100.0
2014,2,8,12,18100.0
2014,2,8,13,15100.0
2014,2,8,14,12100.0
2014,2,8,15,10100.0
2014,2,8,16,8100.0
2014,2,8,17,6100.0
2014,2,8,18,4100.0
2014,2,8,19,2100.0
2014,2,8,20,100.0
2014,2,8,21,100.0
2014,2,8,22,100.0
2014,2,8,23,100.0
2014,2,9,0,100.0
2014,2,9,1,100.0
2014,2,9,2,100.0
2014,2,9,3,100.0
2014,2,9,4,1100.0
2014,2,9,5,2100.0
2014,2,9,6,3100.0
2014,2,9,7,6100.0
2014,2,9,8,10100.0
2014,2,9,9,13100.0
2014,2,9,10,15100.0
2014,2,9,11,20100.0
2014,2,9,12,18100.0
2014,2,9,13,15100.0
2014,2,9,14,12100.0
2014,2,9,15,10100.0
2014,2,9,16,8100.0
2014,2,9,17,6100.0
2014,2,9,18,4100.0
2014,2,9,19,2100.0
2014,2,9,20,100.0
2014,2,9,21,100.0
2014,2,9,22,100.0
2014,2,9,23,100.0
2014,2,10,0,100.0
2014,2,10,1,100.0
2014,2,10,2,100.0
2014,2,10,3,100.0
2014,2,10,4,1100.0
2014,2,10,5,2100.0
2014,2,10,6,3100.0
2014,2,10,7,6100.0
2014,2,10,8,10100.0
2014,2,10,9,13100.0
2014,2,10,10,15100.0
2014,2,10,11,20100.0
2014,2,10,12,18100.0
2014,2,10,13,15100.0
2014,2,10,14,12100.0
2014,2,10,15,10100.0
2014,2,10,16,8100.0
2014,2,10,17,6100.0
2014,2,10,18,4100.0
2014,2,10,19,2100.0
2014,2,10,20,100.0
2014,2,10,21,100.0
2014,2,10,22,100.0
2014,2,10,23,100.0
2014,2,11,0,100.0
2014,2,11,1,100.0
2014,2,11,2,100.0
2014,2,11,3,100.0
2014,2,11,4,1100.0
2014,2,11,5,2100.0
2014,2,11,6,3100.0
2014,2,11,7,6100.0
2014,2,11,8,10100.0
2014,2,11,9,13100.0
2014,2,11,10,15100.0
2014,2,11,11,20100.0
2014,2,11,12,18100.0
2014,2,11,13,15100.0
2014,2,11,14,12100.0
2014,2,11,15,10100.0
2014,2,11,16,8100.0
2014,2,11,17,6100.0
2014,2,11,18,4100.0
2014,2,11,19,2100.0
2014,2,11,20,100.0
2014,2,11,21,100.0
2014,2,11,22,100.0
2014,2,11,23,100.0
2014,2,12,0,100.0
2014,2,12,1,100.0
2014,2,12,2,100.0
2014,2,12,3,100.0
2014,2,12,4,1100.0
2014,2,12,5,2100.0
2014,2,12,6,3100.0
2014,2,12,7,6100.0
2014,2,12,8,10100.0
2014,2,12,9,13100.0
2014,2,12,10,15100.0
2014,2,12,11,20100.0
2014,2,12,12,18100.0
2014,2,12,13,15100.0
2014,2,12,14,12100.0
2014,2,12,15,10100.0
2014,2,12,16,8100.0
2014,2,12,17,6100.0
2014,2,12,18,4100.0
2014,2,12,19,2100.0
2014,2,12,20,100.0
2014,2,12,21,100.0
2014,2,12,22,100.0
2014,2,12,23,100.0
2014,2,13,0,100.0
2014,2,13,1,100.0
2014,2,13,2,100.0
2014,2,13,3,100.0
2014,2,13,4,1100.0
2014,2,13,5,2100.0
2014,2,13,6,3100.0
2014,2,13,7,6100.0
2014,2,13,8,10100.0
2014,2,13,9,13100.0
2014,2,13,10,15100.0
2014,2,13,11,20100.0
2014,2,13,12,18100.0
2014,2,13,13,15100.0
2014,2,13,14,12100.0
2014,2,13,15,10100.0
2014,2,13,16,8100.0
2014,2,13,17,6100.0
2014,2,13,18,4100.0
2014,2,13,19,2100.0
2014,2,13,20,100.0
2014,2,13,21,100.0
2014,2,13,22,100.0
2014,2,13,23,100.0
2014,2,14,0,100.0
2014,2,14,1,100.0
2014,2,14,2,100.0
2014,2,14,3,100.0
2014,2,14,4,1100.0
2014,2,14,5,2100.0
2014,2,14,6,3100.0
2014,2,14,7,6100.0
2014,2,14,8,10100.0
2014,2,14,9,13100.0
2014,2,14,10,15100.0
2014,2,14,11,20100.0
2014,2,14,12,18100.0
2014,2,14,13,15100.0
2014,2,14,14,12100.0
2014,2,14,15,10100.0
2014,2,14,16,8100.0
2014,2,14,17,6100.0
2014,2,14,18,4100.0
2014,2,14,19,2100.0
2014,2,14,20,100.0
2014,2,14,21,100.0
2014,2,14,22,100.0
2014,2,14,23,100.0
2014,2,15,0,100.0
2014,2,15,1,100.0
2014,2,15,2,100.0
2014,2,15,3,100.0
2014,2,15,4,1100.0
2014,2,15,5,2100.0
2014,2,15,6,3100.0
2014,2,15,7,6100.0
2014,2,15,8,10100.0
2014,2,15,9,13100.0
2014,2,15,10,15100.0
2014,2,15,11,20100.0
2014,2,15,12,18100.0
2014,2,15,13,15100.0
